event,event_date,asset,asset_name,day,AR,CAR,direction
Biden UN Climate Ambition Summit,2023-09-20,ICLN,Clean Energy,-1,0.8970829876517574,0.8906931648695535,green_positive
Biden UN Climate Ambition Summit,2023-09-20,ICLN,Clean Energy,0,1.5311421546758526,2.421835319545406,green_positive
Biden UN Climate Ambition Summit,2023-09-20,ICLN,Clean Energy,1,0.2457349458408724,2.6675702653862783,green_positive
Biden UN Climate Ambition Summit,2023-09-20,ICLN,Clean Energy,2,-0.32853356445570137,2.339036700930577,green_positive
Biden UN Climate Ambition Summit,2023-09-20,ICLN,Clean Energy,3,-0.948583247636987,1.3904534532935897,green_positive
Biden UN Climate Ambition Summit,2023-09-20,ICLN,Clean Energy,4,-0.04133244020237514,1.3491210130912146,green_positive
Biden UN Climate Ambition Summit,2023-09-20,ICLN,Clean Energy,5,-0.3924227891076908,0.9566982239835238,green_positive
Biden UN Climate Ambition Summit,2023-09-20,ICLN,Clean Energy,6,-0.1949040438335751,0.7617941801499487,green_positive
Biden UN Climate Ambition Summit,2023-09-20,ICLN,Clean Energy,7,0.5499766049620679,1.3117707851120166,green_positive
Biden UN Climate Ambition Summit,2023-09-20,ICLN,Clean Energy,8,-3.5909056608441485,-2.279134875732132,green_positive
Biden UN Climate Ambition Summit,2023-09-20,ICLN,Clean Energy,9,-0.9845566830423387,-3.263691558774471,green_positive
Biden UN Climate Ambition Summit,2023-09-20,ICLN,Clean Energy,10,0.012498061501332147,-3.251193497273139,green_positive
Biden UN Climate Ambition Summit,2023-09-20,XLE,Fossil Fuels,-5,-0.8985233282168216,-0.8985233282168216,green_positive
Biden UN Climate Ambition Summit,2023-09-20,XLE,Fossil Fuels,-4,0.5044972972920084,-0.39402603092481314,green_positive
Biden UN Climate Ambition Summit,2023-09-20,XLE,Fossil Fuels,-3,-0.6749002438716888,-1.0689262747965018,green_positive
Biden UN Climate Ambition Summit,2023-09-20,XLE,Fossil Fuels,-2,0.7413236794647323,-0.3276025953317695,green_positive
Biden UN Climate Ambition Summit,2023-09-20,XLE,Fossil Fuels,-1,-0.8553286558731461,-1.1829312512049155,green_positive
